element_index  cx cy cz volume deltaZ
439  3.1229 1.0945 0.0000 0.0000 0.0000
440  3.4119 1.3236 0.0000 0.0000 0.0000
441  3.3024 1.2907 0.0000 0.0000 0.0000
442  3.5081 1.2259 0.0000 0.0000 0.0000
443  3.4384 1.4581 0.0000 0.0000 0.0000
444  3.2062 1.3884 0.0000 0.0000 0.0000
445  3.2759 1.1562 0.0000 0.0000 0.0000
446  3.5479 1.3644 0.0000 0.0000 0.0000
447  3.4521 1.3356 0.0000 0.0000 0.0000
448  3.6321 1.2789 0.0000 0.0000 0.0000
449  3.5711 1.4821 0.0000 0.0000 0.0000
450  3.3679 1.4211 0.0000 0.0000 0.0000
451  3.4289 1.2179 0.0000 0.0000 0.0000
452  3.7250 1.4175 0.0000 0.0000 0.0000
453  3.5608 1.3682 0.0000 0.0000 0.0000
454  3.8541 1.4562 0.0000 0.0000 0.0000
455  3.7173 1.4152 0.0000 0.0000 0.0000
456  3.9833 1.4950 0.0000 0.0000 0.0000
457  3.8738 1.4622 0.0000 0.0000 0.0000
458  4.1214 1.5000 0.0000 0.0000 0.0000
459  4.0214 1.5000 0.0000 0.0000 0.0000
460  4.2643 1.5000 0.0000 0.0000 0.0000
461  4.1643 1.5000 0.0000 0.0000 0.0000
462  4.4071 1.5000 0.0000 0.0000 0.0000
463  4.3071 1.5000 0.0000 0.0000 0.0000
464  4.5500 1.5000 0.0000 0.0000 0.0000
465  4.4500 1.5000 0.0000 0.0000 0.0000
466  4.6929 1.5000 0.0000 0.0000 0.0000
467  4.5929 1.5000 0.0000 0.0000 0.0000
468  4.8357 1.5000 0.0000 0.0000 0.0000
469  4.7357 1.5000 0.0000 0.0000 0.0000
470  4.9786 1.5000 0.0000 0.0000 0.0000
471  4.8786 1.5000 0.0000 0.0000 0.0000
