element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
175  3.5811 1.5202 0.27500 3.7154 1.5470 0.27500 3.7416 1.4163 0.27500 3.6073 1.3894 0.27500 0.0024343 0.13333
176  3.6073 1.3894 0.14167 3.7416 1.4163 0.14167 3.7677 1.2856 0.14167 3.6334 1.2587 0.14167 0.0024343 0.13333
177  3.6073 1.3894 0.27500 3.7416 1.4163 0.27500 3.7677 1.2856 0.27500 3.6334 1.2587 0.27500 0.0024343 0.13333
178  3.6073 1.3894 0.40833 3.7416 1.4163 0.40833 3.7677 1.2856 0.40833 3.6334 1.2587 0.40833 0.0024343 0.13333
179  3.6334 1.2587 0.27500 3.7677 1.2856 0.27500 3.7939 1.1548 0.27500 3.6596 1.1280 0.27500 0.0024343 0.13333
180  3.7061 1.5452 0.32500 3.8404 1.5720 0.32500 3.8666 1.4413 0.32500 3.7323 1.4144 0.32500 0.0024343 0.13333
181  3.7323 1.4144 0.19167 3.8666 1.4413 0.19167 3.8927 1.3106 0.19167 3.7584 1.2837 0.19167 0.0024343 0.13333
182  3.7323 1.4144 0.32500 3.8666 1.4413 0.32500 3.8927 1.3106 0.32500 3.7584 1.2837 0.32500 0.0024343 0.13333
183  3.7323 1.4144 0.45833 3.8666 1.4413 0.45833 3.8927 1.3106 0.45833 3.7584 1.2837 0.45833 0.0024343 0.13333
184  3.7584 1.2837 0.32500 3.8927 1.3106 0.32500 3.9189 1.1798 0.32500 3.7846 1.1530 0.32500 0.0024343 0.13333
185  3.8573 1.4394 0.37500 3.9916 1.4663 0.37500 4.0177 1.3356 0.37500 3.8834 1.3087 0.37500 0.0024343 0.13333
