time Vol_0_default_submembrane_pointA_Spc_a Vol_1_default_submembrane_Spc_a Vol_2_region1_submembrane_Spc_a Vol_3_region1_submembrane_Spc_a Vol_0_default_submembrane_pointA_Spc_b Vol_1_default_submembrane_Spc_b Vol_2_region1_submembrane_Spc_b Vol_3_region1_submembrane_Spc_b Vol_0_default_submembrane_pointA_Spc_c Vol_1_default_submembrane_Spc_c Vol_2_region1_submembrane_Spc_c Vol_3_region1_submembrane_Spc_c Vol_0_default_submembrane_pointA_Spc_d Vol_1_default_submembrane_Spc_d Vol_2_region1_submembrane_Spc_d Vol_3_region1_submembrane_Spc_d
11.000 161 00 00 00 21 60 75 76 39 00 00 00 54 58 46 42 
11.050 161 00 00 00 21 60 75 76 39 00 00 00 54 58 45 43 
11.100 160 00 00 00 20 60 75 76 40 00 00 00 53 56 49 42 
11.150 160 00 00 00 20 60 75 76 40 00 00 00 53 55 49 43 
11.200 160 00 00 00 20 60 75 76 40 00 00 00 52 58 47 43 
11.250 160 00 00 00 20 60 75 76 40 00 00 00 54 51 50 45 
11.300 159 00 00 00 19 60 75 76 41 00 00 00 56 54 46 44 
11.350 159 00 00 00 19 60 75 76 41 00 00 00 53 54 47 46 
11.400 158 00 00 00 18 60 75 76 42 00 00 00 54 51 48 47 
11.450 158 00 00 00 18 60 75 76 42 00 00 00 48 61 45 46 
11.500 158 00 00 00 18 60 75 76 42 00 00 00 44 59 53 44 
11.550 158 00 00 00 18 60 75 76 42 00 00 00 43 58 54 45 
11.600 158 00 00 00 18 60 75 76 42 00 00 00 40 61 54 45 
11.650 158 00 00 00 18 60 75 76 42 00 00 00 42 59 54 45 
11.700 157 00 00 00 17 60 75 76 43 00 00 00 41 55 56 48 
11.750 157 00 00 00 17 60 75 76 43 00 00 00 39 63 51 47 
11.800 157 00 00 00 17 60 75 76 43 00 00 00 38 65 47 50 
11.850 157 00 00 00 17 60 75 76 43 00 00 00 42 58 49 51 
11.900 157 00 00 00 17 60 75 76 43 00 00 00 44 55 53 48 
11.950 157 00 00 00 17 60 75 76 43 00 00 00 42 57 50 51 
12.000 157 00 00 00 17 60 75 76 43 00 00 00 43 53 54 50 
12.050 157 00 00 00 17 60 75 76 43 00 00 00 43 48 59 50 
12.100 157 00 00 00 17 60 75 76 43 00 00 00 43 51 55 51 
12.150 157 00 00 00 17 60 75 76 43 00 00 00 47 46 56 51 
12.200 157 00 00 00 17 60 75 76 43 00 00 00 44 48 59 49 
12.250 157 00 00 00 17 60 75 76 43 00 00 00 45 49 60 46 
12.300 156 00 00 00 16 60 75 76 44 00 00 00 48 44 60 48 
12.350 156 00 00 00 16 60 75 76 44 00 00 00 45 52 55 48 
12.400 156 00 00 00 16 60 75 76 44 00 00 00 45 56 52 47 
12.450 156 00 00 00 16 60 75 76 44 00 00 00 46 55 52 47 
12.500 156 00 00 00 16 60 75 76 44 00 00 00 51 45 54 50 
12.550 155 00 00 00 15 60 75 76 45 00 00 00 46 48 55 51 
12.600 155 00 00 00 15 60 75 76 45 00 00 00 46 46 57 51 
12.650 155 00 00 00 15 60 75 76 45 00 00 00 46 45 54 55 
12.700 155 00 00 00 15 60 75 76 45 00 00 00 48 41 58 53 
12.750 155 00 00 00 15 60 75 76 45 00 00 00 47 41 57 55 
12.800 154 00 00 00 14 60 75 76 46 00 00 00 48 38 60 54 
12.850 154 00 00 00 14 60 75 76 46 00 00 00 48 39 61 52 
12.900 154 00 00 00 14 60 75 76 46 00 00 00 48 39 64 49 
12.950 154 00 00 00 14 60 75 76 46 00 00 00 46 43 59 52 
13.000 154 00 00 00 14 60 75 76 46 00 00 00 47 40 60 53 
13.050 154 00 00 00 14 60 75 76 46 00 00 00 43 40 61 56 
