cctdif2d
volumeGrid 139
 (3.1432 1.1541 0.0000)  (3.2766 1.1741 0.0000)  (3.2963 1.0422 0.0000)  (3.1630 1.0222 0.0000) 
 (3.1630 1.0222 0.0000)  (3.2963 1.0422 0.0000)  (3.3161 0.91035 0.0000)  (3.1828 0.89035 0.0000) 
 (3.2172 1.5696 0.0000)  (3.3506 1.5896 0.0000)  (3.3703 1.4578 0.0000)  (3.2370 1.4378 0.0000) 
 (3.2370 1.4378 0.0000)  (3.3703 1.4578 0.0000)  (3.3901 1.3259 0.0000)  (3.2568 1.3059 0.0000) 
 (3.2568 1.3059 0.0000)  (3.3901 1.3259 0.0000)  (3.4099 1.1941 0.0000)  (3.2766 1.1741 0.0000) 
 (3.2766 1.1741 0.0000)  (3.4099 1.1941 0.0000)  (3.4297 1.0622 0.0000)  (3.2963 1.0422 0.0000) 
 (3.2963 1.0422 0.0000)  (3.4297 1.0622 0.0000)  (3.4494 0.93035 0.0000)  (3.3161 0.91035 0.0000) 
 (3.3703 1.4578 0.0000)  (3.5037 1.4778 0.0000)  (3.5234 1.3459 0.0000)  (3.3901 1.3259 0.0000) 
 (3.3901 1.3259 0.0000)  (3.5234 1.3459 0.0000)  (3.5432 1.2141 0.0000)  (3.4099 1.1941 0.0000) 
 (3.4099 1.1941 0.0000)  (3.5432 1.2141 0.0000)  (3.5630 1.0822 0.0000)  (3.4297 1.0622 0.0000) 
 (3.5037 1.4778 0.0000)  (3.6370 1.4978 0.0000)  (3.6568 1.3659 0.0000)  (3.5234 1.3459 0.0000) 
 (3.5234 1.3459 0.0000)  (3.6568 1.3659 0.0000)  (3.6766 1.2341 0.0000)  (3.5432 1.2141 0.0000) 
 (3.5432 1.2141 0.0000)  (3.6766 1.2341 0.0000)  (3.6963 1.1022 0.0000)  (3.5630 1.0822 0.0000) 
 (3.6370 1.4978 0.0000)  (3.7703 1.5178 0.0000)  (3.7901 1.3859 0.0000)  (3.6568 1.3659 0.0000) 
 (3.6568 1.3659 0.0000)  (3.7901 1.3859 0.0000)  (3.8099 1.2541 0.0000)  (3.6766 1.2341 0.0000) 
 (3.6766 1.2341 0.0000)  (3.8099 1.2541 0.0000)  (3.8297 1.1222 0.0000)  (3.6963 1.1022 0.0000) 
 (3.7703 1.5178 0.0000)  (3.9037 1.5378 0.0000)  (3.9234 1.4059 0.0000)  (3.7901 1.3859 0.0000) 
 (3.7901 1.3859 0.0000)  (3.9234 1.4059 0.0000)  (3.9432 1.2741 0.0000)  (3.8099 1.2541 0.0000) 
 (3.8099 1.2541 0.0000)  (3.9432 1.2741 0.0000)  (3.9630 1.1422 0.0000)  (3.8297 1.1222 0.0000) 
 (3.9037 1.5378 0.0000)  (4.0370 1.5578 0.0000)  (4.0568 1.4259 0.0000)  (3.9234 1.4059 0.0000) 
 (3.9234 1.4059 0.0000)  (4.0568 1.4259 0.0000)  (4.0766 1.2941 0.0000)  (3.9432 1.2741 0.0000) 
 (3.9432 1.2741 0.0000)  (4.0766 1.2941 0.0000)  (4.0963 1.1622 0.0000)  (3.9630 1.1422 0.0000) 
 (4.0370 1.5578 0.0000)  (4.1703 1.5778 0.0000)  (4.1901 1.4459 0.0000)  (4.0568 1.4259 0.0000) 
 (4.0568 1.4259 0.0000)  (4.1901 1.4459 0.0000)  (4.2099 1.3141 0.0000)  (4.0766 1.2941 0.0000) 
 (4.0766 1.2941 0.0000)  (4.2099 1.3141 0.0000)  (4.2297 1.1822 0.0000)  (4.0963 1.1622 0.0000) 
 (4.1703 1.5778 0.0000)  (4.3037 1.5978 0.0000)  (4.3234 1.4659 0.0000)  (4.1901 1.4459 0.0000) 
 (4.1901 1.4459 0.0000)  (4.3234 1.4659 0.0000)  (4.3432 1.3341 0.0000)  (4.2099 1.3141 0.0000) 
 (4.2099 1.3141 0.0000)  (4.3432 1.3341 0.0000)  (4.3630 1.2022 0.0000)  (4.2297 1.1822 0.0000) 
 (4.3037 1.5978 0.0000)  (4.4370 1.6178 0.0000)  (4.4568 1.4859 0.0000)  (4.3234 1.4659 0.0000) 
 (4.3234 1.4659 0.0000)  (4.4568 1.4859 0.0000)  (4.4766 1.3541 0.0000)  (4.3432 1.3341 0.0000) 
 (4.3432 1.3341 0.0000)  (4.4766 1.3541 0.0000)  (4.4963 1.2222 0.0000)  (4.3630 1.2022 0.0000) 
 (4.4370 1.6178 0.0000)  (4.5703 1.6378 0.0000)  (4.5901 1.5059 0.0000)  (4.4568 1.4859 0.0000) 
 (4.4568 1.4859 0.0000)  (4.5901 1.5059 0.0000)  (4.6099 1.3741 0.0000)  (4.4766 1.3541 0.0000) 
 (4.4766 1.3541 0.0000)  (4.6099 1.3741 0.0000)  (4.6297 1.2422 0.0000)  (4.4963 1.2222 0.0000) 
 (4.5703 1.6378 0.0000)  (4.7037 1.6578 0.0000)  (4.7234 1.5259 0.0000)  (4.5901 1.5059 0.0000) 
 (4.5901 1.5059 0.0000)  (4.7234 1.5259 0.0000)  (4.7432 1.3941 0.0000)  (4.6099 1.3741 0.0000) 
 (4.6099 1.3741 0.0000)  (4.7432 1.3941 0.0000)  (4.7630 1.2622 0.0000)  (4.6297 1.2422 0.0000) 
 (4.7234 1.5259 0.0000)  (4.8568 1.5459 0.0000)  (4.8766 1.4141 0.0000)  (4.7432 1.3941 0.0000) 
 (4.8568 1.5459 0.0000)  (4.9901 1.5659 0.0000)  (5.0099 1.4341 0.0000)  (4.8766 1.4141 0.0000) 
gridConcentrations 139 1 0.0 cAMP 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
gridConcentrations 139 1 0.9999999999999062 cAMP 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
gridConcentrations 139 1 1.9999999999997962 cAMP 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
0.0 
