cctdif2d
volumeGrid 10977
 (-8.3267e-17 1.5000 3.4286)  (0.43478 1.5000 3.4286)  (0.43478 1.0714 3.4286)  (-5.5511e-17 1.0714 3.4286) 
 (-8.3267e-17 1.5000 3.8571)  (0.43478 1.5000 3.8571)  (0.43478 1.0714 3.8571)  (-5.5511e-17 1.0714 3.8571) 
 (-8.3267e-17 1.5000 4.2857)  (0.43478 1.5000 4.2857)  (0.43478 1.0714 4.2857)  (-5.5511e-17 1.0714 4.2857) 
 (-8.3267e-17 1.5000 4.7143)  (0.43478 1.5000 4.7143)  (0.43478 1.0714 4.7143)  (-5.5511e-17 1.0714 4.7143) 
 (-5.5511e-17 1.0714 -4.7143)  (0.43478 1.0714 -4.7143)  (0.43478 0.64286 -4.7143)  (-2.7756e-17 0.64286 -4.7143) 
 (-5.5511e-17 1.0714 -4.2857)  (0.43478 1.0714 -4.2857)  (0.43478 0.64286 -4.2857)  (-2.7756e-17 0.64286 -4.2857) 
 (-5.5511e-17 1.0714 -3.8571)  (0.43478 1.0714 -3.8571)  (0.43478 0.64286 -3.8571)  (-2.7756e-17 0.64286 -3.8571) 
 (-5.5511e-17 1.0714 -3.4286)  (0.43478 1.0714 -3.4286)  (0.43478 0.64286 -3.4286)  (-2.7756e-17 0.64286 -3.4286) 
 (-5.5511e-17 1.0714 -3.0000)  (0.43478 1.0714 -3.0000)  (0.43478 0.64286 -3.0000)  (-2.7756e-17 0.64286 -3.0000) 
 (-5.5511e-17 1.0714 -2.5714)  (0.43478 1.0714 -2.5714)  (0.43478 0.64286 -2.5714)  (-2.7756e-17 0.64286 -2.5714) 
 (-5.5511e-17 1.0714 -2.1429)  (0.43478 1.0714 -2.1429)  (0.43478 0.64286 -2.1429)  (-2.7756e-17 0.64286 -2.1429) 
 (-5.5511e-17 1.0714 -1.7143)  (0.43478 1.0714 -1.7143)  (0.43478 0.64286 -1.7143)  (-2.7756e-17 0.64286 -1.7143) 
 (-5.5511e-17 1.0714 -1.2857)  (0.43478 1.0714 -1.2857)  (0.43478 0.64286 -1.2857)  (-2.7756e-17 0.64286 -1.2857) 
 (-5.5511e-17 1.0714 -0.85714)  (0.43478 1.0714 -0.85714)  (0.43478 0.64286 -0.85714)  (-2.7756e-17 0.64286 -0.85714) 
 (-5.5511e-17 1.0714 -0.42857)  (0.43478 1.0714 -0.42857)  (0.43478 0.64286 -0.42857)  (-2.7756e-17 0.64286 -0.42857) 
 (-5.5511e-17 1.0714 0.0000)  (0.43478 1.0714 0.0000)  (0.43478 0.64286 0.0000)  (-2.7756e-17 0.64286 0.0000) 
 (-5.5511e-17 1.0714 0.42857)  (0.43478 1.0714 0.42857)  (0.43478 0.64286 0.42857)  (-2.7756e-17 0.64286 0.42857) 
 (-5.5511e-17 1.0714 0.85714)  (0.43478 1.0714 0.85714)  (0.43478 0.64286 0.85714)  (-2.7756e-17 0.64286 0.85714) 
 (-5.5511e-17 1.0714 1.2857)  (0.43478 1.0714 1.2857)  (0.43478 0.64286 1.2857)  (-2.7756e-17 0.64286 1.2857) 
 (-5.5511e-17 1.0714 1.7143)  (0.43478 1.0714 1.7143)  (0.43478 0.64286 1.7143)  (-2.7756e-17 0.64286 1.7143) 
 (-5.5511e-17 1.0714 2.1429)  (0.43478 1.0714 2.1429)  (0.43478 0.64286 2.1429)  (-2.7756e-17 0.64286 2.1429) 
